Group,Subgroup,Language,State,Speakers,Margin of Error (Number of Speakers),"Speak English less than ""Very Well""",Margin of Error (Speak English Less than Very Well)
ALL OTHER LANGUAGES,Other Native North American languages,Iroquois,New Hampshire,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,New Hampshire,,,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,New Hampshire,187,120,13,20
ALL OTHER LANGUAGES,Arabic,Arabic,New Hampshire,"2,285",541,715,282
ALL OTHER LANGUAGES,Hebrew,Hebrew,New Hampshire,438,264,3,5
ALL OTHER LANGUAGES,African languages,Amharic,New Hampshire,50,74,,
ALL OTHER LANGUAGES,African languages,Chadic,New Hampshire,65,55,35,38
ALL OTHER LANGUAGES,African languages,Cushite,New Hampshire,330,267,175,128
ALL OTHER LANGUAGES,African languages,Sudanic,New Hampshire,,,,
ALL OTHER LANGUAGES,African languages,Swahili,New Hampshire,645,323,285,260
ALL OTHER LANGUAGES,African languages,Bantu,New Hampshire,580,305,345,255
ALL OTHER LANGUAGES,African languages,Mande,New Hampshire,,,,
ALL OTHER LANGUAGES,African languages,Fulani,New Hampshire,170,204,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",New Hampshire,365,209,105,88
ALL OTHER LANGUAGES,African languages,Efik,New Hampshire,40,58,,
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,New Hampshire,325,144,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,New Hampshire,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,New Hampshire,95,133,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,New Hampshire,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,New Hampshire,115,54,,
ENGLISH,English,English,New Jersey,"5,804,858","9,551",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,New Jersey,"1,277,000","5,689","593,490","5,153"
SPANISH AND SPANISH CREOLE,Spanish,Ladino,New Jersey,,,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,New Jersey,"35,985","1,674","8,330",648
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,New Jersey,"1,900",418,460,225
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,New Jersey,"44,092","2,438","19,066","1,430"
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,New Jersey,"78,856","2,467","23,863","1,312"
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,New Jersey,"84,160","3,038","39,215","1,946"
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Papia Mentae,New Jersey,,,,
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,New Jersey,"27,405","1,356","4,260",509
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,New Jersey,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,New Jersey,"6,587",958,492,131
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,New Jersey,50,56,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,New Jersey,"3,020",501,295,132
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,New Jersey,540,256,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,New Jersey,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,New Jersey,"1,255",262,55,46
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,New Jersey,920,291,25,22
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,New Jersey,970,214,145,89
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,New Jersey,75,58,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,New Jersey,"20,843","1,562","5,113",640
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,New Jersey,"44,795","2,255","18,888","1,368"
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,New Jersey,"66,346","2,552","28,828","1,481"
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,New Jersey,"2,540",668,"1,130",406
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,New Jersey,"3,490",635,"1,145",291
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,New Jersey,"2,935",560,"1,085",278
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,New Jersey,60,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,New Jersey,"11,070","1,025","4,400",556
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,New Jersey,"1,255",323,385,193
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,New Jersey,"3,540",669,"1,430",394
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,New Jersey,"2,030",560,645,281
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,New Jersey,"3,275",613,"1,470",364
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,New Jersey,150,71,65,40
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,New Jersey,"5,351",736,"1,874",355
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,New Jersey,"8,944","1,163","2,822",447
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,New Jersey,"63,342","2,612","13,820","1,257"
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,New Jersey,"75,414","2,820","30,279","1,860"
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,New Jersey,"27,961","2,132","7,907",928
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,New Jersey,"8,945","1,212","3,650",632
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,New Jersey,"18,165","1,460","6,845",768
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,New Jersey,"13,990","1,453","5,555",809
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,New Jersey,"8,250",988,920,241
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bihari,New Jersey,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,New Jersey,600,312,95,108
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,New Jersey,135,136,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,New Jersey,295,237,85,96
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,New Jersey,805,269,380,165
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,New Jersey,"1,080",298,90,61
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,New Jersey,"1,155",522,820,402
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,New Jersey,"1,070",342,460,244
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,New Jersey,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,New Jersey,"2,235",650,975,399
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,New Jersey,455,246,210,181
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,New Jersey,255,289,195,266
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,New Jersey,105,79,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,New Jersey,"5,285",924,"1,805",416
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,New Jersey,80,58,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,New Jersey,"1,085",266,150,80
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,New Jersey,120,85,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,New Jersey,"8,935","1,306","3,070",515
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,New Jersey,"1,740",456,460,166
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,New Jersey,835,227,185,113
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,New Jersey,"1,085",629,535,357
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,New Jersey,150,180,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,New Jersey,"78,860","3,311","36,345","1,907"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,New Jersey,50,43,15,24
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,New Jersey,"8,845","1,129","3,365",603
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,New Jersey,"19,115","1,457","8,515",822
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,New Jersey,190,149,190,149
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,New Jersey,"3,955",658,"2,060",362
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,New Jersey,140,94,70,72
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,New Jersey,"12,032",959,"5,745",668
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,New Jersey,"76,224","2,909","39,333","1,819"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",New Jersey,745,325,497,234
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,New Jersey,15,17,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,New Jersey,"2,920",517,"1,447",367
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,New Jersey,244,131,124,95
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,New Jersey,"20,704","1,889","12,411","1,183"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,New Jersey,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karachay,New Jersey,45,64,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,New Jersey,180,114,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,New Jersey,"13,235","1,199","5,780",682
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,New Jersey,225,165,45,35
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,New Jersey,220,207,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,New Jersey,155,124,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,New Jersey,"25,940","1,623","6,000",740
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,New Jersey,"5,325",841,"1,015",385
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,New Jersey,"9,555","1,032","2,350",439
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,New Jersey,"19,835","1,623","3,605",729
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,New Jersey,200,126,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,New Jersey,125,87,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,New Jersey,"1,310",405,730,282
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,New Jersey,60,133,50,120
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,New Jersey,"81,134","3,400","21,973","1,497"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,New Jersey,"1,740",458,815,283
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Balinese,New Jersey,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Javanese,New Jersey,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,New Jersey,310,156,95,67
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,New Jersey,930,283,315,131
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,New Jersey,665,212,190,88
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,New Jersey,590,208,190,124
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,New Jersey,300,283,225,291
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,New Jersey,85,58,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Kusaiean,New Jersey,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,New Jersey,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,New Jersey,125,114,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,New Jersey,75,76,35,44
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,New Jersey,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cree,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,New Jersey,50,44,,
ALL OTHER LANGUAGES,Other Native North American languages,Micmac,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,New Jersey,95,115,,
ALL OTHER LANGUAGES,Other Native North American languages,Ottawa,New Jersey,190,252,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Santiam,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Karok,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Delta River Yuman,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Walapai,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Keres,New Jersey,20,19,,
ALL OTHER LANGUAGES,Other Native North American languages,Mohawk,New Jersey,55,44,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,New Jersey,25,26,,
ALL OTHER LANGUAGES,Other Native North American languages,Tewa,New Jersey,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,New Jersey,155,127,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,New Jersey,"6,296",633,"2,280",356
ALL OTHER LANGUAGES,Arabic,Arabic,New Jersey,"59,729","2,992","21,782","1,517"
ALL OTHER LANGUAGES,Hebrew,Hebrew,New Jersey,"15,800","1,088","1,773",386
ALL OTHER LANGUAGES,African languages,Amharic,New Jersey,"1,780",417,475,185
ALL OTHER LANGUAGES,African languages,Berber,New Jersey,320,257,235,228
ALL OTHER LANGUAGES,African languages,Chadic,New Jersey,295,143,105,85
ALL OTHER LANGUAGES,African languages,Cushite,New Jersey,70,52,35,29
ALL OTHER LANGUAGES,African languages,Sudanic,New Jersey,90,98,,
ALL OTHER LANGUAGES,African languages,Nilotic,New Jersey,30,36,,
ALL OTHER LANGUAGES,African languages,Swahili,New Jersey,"3,300",590,775,316
ALL OTHER LANGUAGES,African languages,Bantu,New Jersey,"1,170",380,205,98
ALL OTHER LANGUAGES,African languages,Mande,New Jersey,"1,370",476,435,240
ALL OTHER LANGUAGES,African languages,Fulani,New Jersey,735,266,120,100
ALL OTHER LANGUAGES,African languages,Gur,New Jersey,180,133,45,48
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",New Jersey,"23,035","1,748","5,155",658
ALL OTHER LANGUAGES,African languages,Efik,New Jersey,170,122,40,53
ALL OTHER LANGUAGES,African languages,African,New Jersey,610,261,155,103
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,New Jersey,475,188,80,59
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,New Jersey,575,194,155,84
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,New Jersey,"1,660",458,755,234
ALL OTHER LANGUAGES,Other and unspecified languages,Basque,New Jersey,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,New Jersey,"1,035",441,515,226
ALL OTHER LANGUAGES,Other and unspecified languages,Aztecan,New Jersey,75,111,55,83
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,New Jersey,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,New Jersey,65,59,50,54
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,New Jersey,125,92,125,92
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,New Jersey,80,62,,
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,New Jersey,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Tupi-Guarani,New Jersey,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,New Jersey,70,42,,
ENGLISH,English,English,New Mexico,"1,232,242","6,501",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,New Mexico,"553,050","5,895","155,215","4,582"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,New Mexico,"4,805",557,550,160
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,New Mexico,,,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,New Mexico,,,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,New Mexico,75,66,,
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,New Mexico,"1,729",305,380,125
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,New Mexico,755,226,105,79
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,New Mexico,"7,580",731,"1,525",280
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,New Mexico,125,58,14,22
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,New Mexico,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,New Mexico,590,220,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,New Mexico,225,128,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,New Mexico,295,157,,
